seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1242550	1242617	68	*	X00016	126789	1243994	1247057	3064	+	1376	upstream	1376	PUSL1
chr1	1335783	1335874	92	*	X00020	81669	1321091	1334718	13628	-	1064	upstream	1064	CCNL2
chr1	1361635	1361639	5	*	X00022	643965	1361508	1363167	1660	+	0	inside	126	TMEM88B
chr1	1369462	1369596	135	*	X00029	64856	1370903	1378262	7360	+	1306	upstream	1306	VWA1
chr1	2140583	2140676	94	*	X00038	199990	2115899	2139172	23274	-	1410	upstream	1410	FAAP20
chr1	6053733	6053798	66	*	X00053	261734	5922870	6052533	129664	-	1199	upstream	1199	NPHP4
chr1	6054159	6054263	105	*	X00054	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6483818	6483982	165	*	X00070	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6484067	6484186	120	*	X00071	83715	6484848	6521004	36157	+	661	upstream	661	ESPN
chr1	10857291	10857410	120	*	X00113	54897	10696666	10856733	160068	-	557	upstream	557	CASZ1
chr1	11713578	11713682	105	*	X00117	93611	11714432	11723384	8953	+	749	upstream	749	FBXO44
chr1	11864961	11865080	120	*	X00120	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	15478601	15478705	105	*	X00131	200197	15438311	15478960	40650	-	0	inside	254	TMEM51-AS1
chr1	15478601	15478705	105	*	X00131	55092	15479028	15546974	67947	+	322	upstream	322	TMEM51
chr1	15943360	15943392	33	*	X00144	84301	15943953	15987552	43600	+	560	upstream	560	DDI2
chr1	16082486	16082665	180	*	X00145	54751	16083154	16113084	29931	+	488	upstream	488	FBLIM1
chr1	16400340	16400402	63	*	X00155	348487	16384264	16400127	15864	-	212	upstream	212	FAM131C
chr1	16679678	16679782	105	*	X00166	54455	16576559	16678948	102390	-	729	upstream	729	FBXO42
chr1	17767158	17767277	120	*	X00170	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18806650	18806739	90	*	X00182	127707	18807424	18812480	5057	+	684	upstream	684	KLHDC7A
chr1	18807150	18807344	195	*	X00183	127707	18807424	18812480	5057	+	79	upstream	79	KLHDC7A
chr1	20915187	20915351	165	*	X00202	978	20915444	20945400	29957	+	92	upstream	92	CDA
chr1	21060438	21060527	90	*	X00205	400745	21046225	21059330	13106	-	1107	upstream	1107	SH2D5
chr1	23671711	23671815	105	*	X00235	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671954	75	*	X00236	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23886764	23886868	105	*	X00239	3399	23884421	23886285	1865	-	478	upstream	478	ID3
chr1	24105831	24105950	120	*	X00245	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24438717	24438791	75	*	X00247	127294	24382531	24438665	56135	-	51	upstream	51	MYOM3
chr1	24645553	24645722	170	*	X00254	57822	24645812	24690970	45159	+	89	upstream	89	GRHL3
chr1	26144984	26145088	105	*	X00271	56181	26146397	26159433	13037	+	1308	upstream	1308	MTFR1L
chr1	26187810	26187873	64	*	X00273	79000	26160497	26185848	25352	-	1961	upstream	1961	AUNIP
chr1	26197969	26198058	90	*	X00275	164091	26187975	26197744	9770	-	224	upstream	224	PAQR7
chr1	26735674	26735743	70	*	X00286	79727	26737269	26756219	18951	+	1525	upstream	1525	LIN28A
chr1	26736654	26736667	14	*	X00287	79727	26737269	26756219	18951	+	601	upstream	601	LIN28A
chr1	27718485	27718694	210	*	X00302	2827	27719148	27722317	3170	+	453	upstream	453	GPR3
chr1	28585343	28585462	120	*	X00332	83667	28585963	28609002	23040	+	500	upstream	500	SESN2
chr1	29211821	29211878	58	*	X00334	2035	29213603	29446558	232956	+	1724	upstream	1724	EPB41
chr1	32040883	32040890	8	*	X00346	64129	32042086	32053287	11202	+	1195	upstream	1195	TINAGL1
chr1	32171034	32171197	164	*	X00353	1307	32117848	32169768	51921	-	1265	upstream	1265	COL16A1
chr1	32225097	32225103	7	*	X00354	100423028	32224261	32224336	76	-	760	upstream	760	MIR4254
chr1	32404449	32404534	86	*	X00361	8073	32372022	32403988	31967	-	460	upstream	460	PTP4A2
chr1	32405282	32405371	90	*	X00362	8073	32372022	32403988	31967	-	1293	upstream	1293	PTP4A2
chr1	32478845	32478988	144	*	X00365	10657	32479295	32526460	47166	+	306	upstream	306	KHDRBS1
chr1	32665889	32665916	28	*	X00368	79140	32666202	32670991	4790	+	285	upstream	285	CCDC28B
chr1	32686589	32686693	105	*	X00369	8668	32687185	32697205	10021	+	491	upstream	491	EIF3I
chr1	35246671	35246744	74	*	X00398	2707	35246790	35251967	5178	+	45	upstream	45	GJB3
chr1	36024316	36024435	120	*	X00399	79932	35899091	36023551	124461	-	764	upstream	764	KIAA0319L
chr1	36024496	36024689	194	*	X00400	79932	35899091	36023551	124461	-	944	upstream	944	KIAA0319L
chr1	36395327	36395361	35	*	X00402	192669	36396319	36522063	125745	+	957	upstream	957	AGO3
chr1	36620717	36620857	141	*	X00405	55700	36621803	36646441	24639	+	945	upstream	945	MAP7D1
chr1	36621038	36621146	109	*	X00406	55700	36621803	36646441	24639	+	656	upstream	656	MAP7D1
chr1	36789969	36789973	5	*	X00409	55194	36787632	36789755	2124	-	213	upstream	213	EVA1B
chr1	36931529	36931648	120	*	X00412	64960	36921362	36930040	8679	-	1488	upstream	1488	MRPS15
chr1	36931709	36931783	75	*	X00413	64960	36921362	36930040	8679	-	1668	upstream	1668	MRPS15
chr1	38471889	38471993	105	*	X00419	2275	38462442	38471187	8746	-	701	upstream	701	FHL3
chr1	39456329	39456340	12	*	X00422	79647	39456916	39471737	14822	+	575	upstream	575	AKIRIN1
chr1	41329671	41329760	90	*	X00434	163732	41326728	41328018	1291	-	1652	upstream	1652	CITED4
